r_age,r_height,r_weight,r_reach,r_wins_total,r_losses_total,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_str_def_total,r_td_avg,r_td_acc_total,r_td_def_total,r_sub_avg,b_age,b_height,b_weight,b_reach,b_wins_total,b_losses_total,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_str_def_total,b_td_avg,b_td_acc_total,b_td_def_total,b_sub_avg,is_title_bout,age_diff,height_diff,reach_diff,wins_total_diff,losses_total_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,str_def_total_diff,td_avg_diff,td_acc_total_diff,td_def_total_diff,sub_avg_diff,winner,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_TUF Nations Canada vs. Australia Middleweight Tournament Title,weight_class_TUF Nations Canada vs. Australia Welterweight Tournament Title,weight_class_UFC Bantamweight Title,weight_class_UFC Featherweight Title,weight_class_UFC Flyweight Title,weight_class_UFC Heavyweight Title,weight_class_UFC Interim Bantamweight Title,weight_class_UFC Interim Featherweight Title,weight_class_UFC Interim Flyweight Title,weight_class_UFC Interim Heavyweight Title,weight_class_UFC Interim Light Heavyweight Title,weight_class_UFC Interim Lightweight Title,weight_class_UFC Interim Middleweight Title,weight_class_UFC Interim Welterweight Title,weight_class_UFC Light Heavyweight Title,weight_class_UFC Lightweight Title,weight_class_UFC Middleweight Title,weight_class_UFC Welterweight Title,weight_class_Ultimate Fighter 1 Light Heavyweight Tournament Title,weight_class_Ultimate Fighter 1 Middleweight Tournament Title,weight_class_Ultimate Fighter 10 Heavyweight Tournament Title,weight_class_Ultimate Fighter 11 Middleweight Tournament Title,weight_class_Ultimate Fighter 12 Lightweight Tournament Title,weight_class_Ultimate Fighter 13 Welterweight Tournament Title,weight_class_Ultimate Fighter 14 Bantamweight Tournament Title,weight_class_Ultimate Fighter 14 Featherweight Tournament Title,weight_class_Ultimate Fighter 15 Lightweight Tournament Title,weight_class_Ultimate Fighter 16 Welterweight Tournament Title,weight_class_Ultimate Fighter 17 Middleweight Tournament Title,weight_class_Ultimate Fighter 19 Middleweight Tournament Title,weight_class_Ultimate Fighter 2 Welterweight Tournament Title,weight_class_Ultimate Fighter 22 Lightweight Tournament Title,weight_class_Ultimate Fighter 23 Light Heavyweight Tournament Title,weight_class_Ultimate Fighter 25 Welterweight Tournament Title,weight_class_Ultimate Fighter 27 Lightweight Tournament Title,weight_class_Ultimate Fighter 28 Heavyweight Tournament Title,weight_class_Ultimate Fighter 3 Middleweight Tournament Title,weight_class_Ultimate Fighter 4 Middleweight Tournament Title,weight_class_Ultimate Fighter 4 Welterweight Tournament Title,weight_class_Ultimate Fighter 5 Lightweight Tournament Title,weight_class_Ultimate Fighter 6 Welterweight Tournament Title,weight_class_Ultimate Fighter 7 Middleweight Tournament Title,weight_class_Ultimate Fighter 8 Light Heavyweight Tournament Title,weight_class_Ultimate Fighter 8 Lightweight Tournament Title,weight_class_Ultimate Fighter 9 Lightweight Tournament Title,weight_class_Ultimate Fighter 9 Welterweight Tournament Title,weight_class_Ultimate Fighter Australia vs. UK Welterweight Tournament Title,weight_class_Ultimate Fighter Brazil 1 Featherweight Tournament Title,weight_class_Ultimate Fighter Brazil 1 Middleweight Tournament Title,weight_class_Ultimate Fighter Brazil 2 Welterweight Tournament Title,weight_class_Ultimate Fighter Brazil 3 Heavyweight Tournament Title,weight_class_Ultimate Fighter Brazil 3 Middleweight Tournament Title,weight_class_Ultimate Fighter Latin America 3 Lightweight Tournament Title,weight_class_Ultimate Fighter Latin America Bantamweight Tournament Title,weight_class_Welterweight,r_stance_Orthodox,r_stance_Southpaw,r_stance_Switch,b_stance_Orthodox,b_stance_Southpaw,b_stance_Switch
34.0,187.96,108.41,200.66,11,3,3.18,4.21,0.37,0.52,0.89,0.18,0.0,0.0,28.0,193.04,120.2,200.66,9,0,4.54,3.94,0.51,0.59,1.6,0.41,0.5,0.3,0,6.0,-5.079999999999984,0.0,2,3,-1.36,0.27,-0.14,-0.0699999999999999,-0.7100000000000001,-0.2299999999999999,-0.5,-0.3,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
31.0,187.96,119.75,190.5,15,7,3.96,5.05,0.49,0.43,0.0,0.0,0.57,0.0,38.0,190.5,112.94,198.12,25,8,3.6,3.35,0.48,0.55,1.43,0.33,0.79,0.1,0,-7.0,-2.539999999999992,-7.6200000000000045,-10,-1,0.3599999999999999,1.6999999999999995,0.01,-0.12,-1.43,-0.33,-0.22,-0.1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
40.0,190.5,92.99,203.2,27,17,3.03,3.32,0.47,0.47,1.1,0.36,0.67,0.5,31.0,195.58,92.99,210.82,12,5,5.13,4.9,0.45,0.5,0.6,0.45,0.8,0.2,0,9.0,-5.0800000000000125,-7.6200000000000045,15,12,-2.1,-1.5800000000000003,0.0199999999999999,-0.03,0.5000000000000001,-0.09,-0.13,0.3,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
26.0,170.18,65.77,180.34,11,1,3.45,2.28,0.48,0.57,1.14,0.54,0.66,1.1,27.0,170.18,65.77,180.34,6,1,2.88,2.53,0.58,0.39,6.06,0.47,0.0,1.5,0,-1.0,0.0,0.0,5,0,0.5700000000000003,-0.25,-0.0999999999999999,0.1799999999999999,-4.92,0.07,0.66,-0.3999999999999999,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
36.0,185.42,83.91,195.58,36,17,3.18,3.37,0.45,0.53,2.17,0.38,0.34,1.6,34.0,182.88,83.91,182.88,18,12,5.35,4.59,0.48,0.44,0.13,0.22,0.5,0.3,0,2.0,2.539999999999992,12.700000000000015,18,5,-2.1699999999999995,-1.2199999999999998,-0.0299999999999999,0.09,2.04,0.16,-0.1599999999999999,1.3,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
32.0,175.26,70.31,180.34,8,2,3.7,3.19,0.52,0.58,5.03,0.58,0.41,0.5,31.0,182.88,70.31,182.88,11,2,5.35,5.76,0.52,0.55,2.77,0.53,0.64,0.4,0,1.0,-7.6200000000000045,-2.539999999999992,-3,0,-1.6499999999999997,-2.57,0.0,0.0299999999999999,2.26,0.0499999999999999,-0.23,0.0999999999999999,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
30.0,170.18,56.7,172.72,16,3,2.36,2.0,0.41,0.47,1.77,0.33,0.55,2.6,32.0,170.18,56.7,185.42,12,7,3.46,4.44,0.38,0.44,1.27,0.27,0.64,0.2,0,-2.0,0.0,-12.699999999999989,4,-4,-1.1,-2.4400000000000004,0.0299999999999999,0.0299999999999999,0.5,0.06,-0.0899999999999999,2.4,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
29.0,177.8,65.77,185.42,11,3,3.2,3.24,0.42,0.56,0.0,0.0,0.67,0.3,27.0,180.34,65.77,177.8,9,1,8.3,9.47,0.58,0.59,3.0,0.5,1.0,0.5,0,2.0,-2.539999999999992,7.619999999999976,2,2,-5.1000000000000005,-6.23,-0.1599999999999999,-0.0299999999999999,-3.0,-0.5,-0.3299999999999999,-0.2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
29.0,175.26,70.31,177.8,18,7,2.47,4.19,0.4,0.55,1.64,0.44,0.56,1.3,31.0,180.34,70.31,180.34,8,2,2.37,3.34,0.42,0.36,0.91,1.0,0.0,0.0,0,-2.0,-5.0800000000000125,-2.539999999999992,10,5,0.1,0.8500000000000005,-0.0199999999999999,0.19,0.7299999999999999,-0.56,0.56,1.3,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
31.0,170.18,61.23,170.18,8,4,2.13,5.56,0.4,0.46,3.75,0.8,1.0,0.0,37.0,167.64,61.23,162.56,13,7,3.6,3.11,0.45,0.53,0.82,0.3,0.42,0.6,0,-6.0,2.5400000000000205,7.6200000000000045,-5,-3,-1.4700000000000002,2.4499999999999997,-0.0499999999999999,-0.07,2.93,0.5,0.5800000000000001,-0.6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
